,0,1,2,3,4,5,6,7,8
118,-61869790.662204765,442646.436696969,-37714845.83878537,-23011683.23227696,9094639.788293106,51631031.34514751,-79496597.06039551,-62758250.904921964,361651850.12844694
119,-20545860.68853012,23588694.359589923,-8406486.868826091,-34218463.69607026,7974374.815358441,53919113.76077924,-79684587.1125432,-62725158.11813037,361449273.54837245
120,49858852.98908892,32284089.733874306,17350285.227339484,-44857534.415964015,6747990.940787543,56166563.03049515,-79852438.05594933,-62691429.84405699,361244920.394385
121,-28940570.56597116,9588232.883003367,35498332.0334402,-54633943.00475932,5409468.755468674,58370663.568300225,-79999707.42949876,-62657066.8138529,361038790.5738697
122,-37697367.427780665,-20824747.02460791,48746401.42568957,-63252737.07525696,3952788.850290494,60528699.78819951,-80125952.77207682,-62622069.75866975,360830883.9942125
123,36426903.91280597,-25931366.378251456,61569909.25479386,-70418964.24025923,2371931.816141052,62637956.104197934,-80230731.62256798,-62586439.40965919,360621200.56279904
124,-40111496.29907198,4827028.41401336,76935182.65423173,-75837672.11256707,660878.2439086232,64695716.930300586,-80313601.51985738,-62550176.497972414,360409740.1870145
125,-23220110.826896507,19588194.84215964,90644247.86807092,-79213908.30498162,-1186068.4137153905,66698943.818709284,-80374120.00282985,-62513281.754761316,360196502.7742448
126,55526081.07587175,8734724.160621282,96690933.86589725,-80252720.4303047,-3173313.256826749,68643306.87441331,-80411844.61037052,-62475755.911176816,359981488.2318752
127,-61243628.478080526,-12834925.748634003,89371774.25865375,-78745130.33887844,-5299306.921216246,70524153.34059893,-80426332.88136423,-62437599.69837084,359764696.46729153
128,-15564673.767320942,-8298149.872056516,66116852.45710742,-74826056.83120432,-7539973.632666647,72336830.46045214,-80417142.35469566,-62398813.847494766,359546127.3878793
129,59595923.2886482,7206692.853566214,34872046.09833696,-68716392.94532672,-9865606.01445807,74076685.4771595,-80383831.27145493,-62359398.387495175,359325780.901024
130,-29560912.879642162,4840396.657871712,10849633.302961506,-60637031.71928795,-12246496.68987099,75739065.6339071,-80325961.57401568,-62319349.64603476,359103656.91411126
131,-42241405.99553086,-3934100.967989473,-5887802.916042782,-50808866.191131175,-14652938.282185389,77319318.17388088,-80243099.4768139,-62278659.67871401,358879755.33452666
132,11303473.965847816,-2520860.602490562,-20467835.22428038,-39452789.39889922,-17055223.41468195,78812790.34026743,-80134813.27714038,-62237318.45827848,358654076.0696558
133,21519120.176042043,3603149.158848257,-41326191.41699065,-26789694.380635977,-19423644.71064085,80214829.37625264,-80000676.03384745,-62195311.19591218,358426619.02688414
134,-15711138.148508737,2918655.7471374287,-72673931.36093578,-13040474.17438396,-21728494.79334239,81520782.52502294,-79840263.62096268,-62152620.287624076,358197384.1135973
135,15651424.356537621,-6242520.983373186,-96758603.49391976,1573978.181813877,-23940066.28606728,82725997.0297645,-79653158.41165216,-62109221.6302845,357966371.2371809
136,-21772694.5589588,7901517.6114758,-93678784.06199634,16746146.282736227,-26028651.812094994,83825820.13366342,-79438942.15836394,-62065091.82564018,357733580.3891788
137,33129645.341324136,11542326.935621276,-57683255.08874717,31822020.25445114,-27964543.994706575,84815599.07990608,-79197189.80020118,-62020214.62541646,357499011.8977688
138,-48264624.93567479,-15016291.132210802,4009187.5240159407,46060966.85585051,-29718035.45718199,85690681.11167836,-78927482.70541784,-61974567.43634632,357262666.1752869
139,65576784.76781678,-7686642.902332971,60556696.912689134,58722352.84582351,-31259418.82280184,86446435.98088387,-78629429.15164888,-61928123.264498875,357024543.63406926
