Date,Open,High,Low,Close,Adj Close,Volume
2017-05-11,157.350006,157.699997,155.330002,156.199997,149.106400,3929100
2017-05-12,156.389999,157.199997,155.750000,156.919998,149.793701,2926400
2017-05-15,157.279999,157.839996,156.660004,157.330002,150.185104,6068900
2017-05-16,160.110001,160.860001,158.050003,158.259995,151.072861,10120900
2017-05-17,158.259995,158.259995,155.889999,156.089996,149.001404,5937000
2017-05-18,155.479996,156.669998,155.240005,155.699997,148.629105,4858600
2017-05-19,156.039993,156.740005,155.320007,156.300003,149.201859,4781800
2017-05-22,156.490005,157.000000,155.800003,155.960007,148.877319,3802100
2017-05-23,155.910004,156.429993,154.679993,154.830002,147.798630,4640900
2017-05-24,154.699997,155.429993,153.289993,155.000000,147.960907,4558700
2017-05-25,156.199997,156.690002,155.350006,156.460007,149.354614,3110800
2017-05-26,156.100006,156.419998,154.639999,154.899994,147.865448,4284700
2017-05-30,154.000000,154.559998,153.520004,153.880005,147.740631,3504300
2017-05-31,154.360001,154.380005,153.279999,153.509995,147.385391,7158400
2017-06-01,153.520004,155.160004,152.740005,155.149994,148.959961,3385100
2017-06-02,154.789993,155.860001,154.419998,155.350006,149.151978,3485600
2017-06-05,155.529999,155.619995,154.229996,154.789993,148.614319,2651800
2017-06-06,154.440002,154.660004,153.649994,154.199997,148.047852,3260300
2017-06-07,154.690002,155.300003,154.350006,154.960007,148.777542,3159000
2017-06-08,154.960007,155.229996,153.380005,153.500000,147.375778,4014000
2017-06-09,154.000000,154.000000,152.779999,152.960007,146.857346,4705300
2017-06-12,152.800003,153.300003,151.729996,152.179993,146.108459,4473900
2017-06-13,152.309998,154.039993,152.059998,153.990005,147.846252,3753800
2017-06-14,154.500000,157.279999,153.960007,156.759995,150.505722,5999400
2017-06-15,156.130005,157.270004,154.919998,156.770004,150.515305,3972300
2017-06-16,156.250000,156.690002,155.410004,156.639999,150.390533,9105400
2017-06-19,156.910004,159.029999,156.389999,158.809998,152.473938,5196100
2017-06-20,158.729996,159.220001,157.600006,157.669998,151.379425,4201200
2017-06-21,157.910004,158.529999,156.429993,156.589996,150.342499,4071300
2017-06-22,156.440002,157.070007,155.470001,155.479996,149.276794,3347400
2017-06-23,155.160004,155.229996,150.910004,151.309998,145.273178,11422200
2017-06-26,151.669998,151.970001,151.130005,151.419998,145.378784,4128500
2017-06-27,151.059998,153.250000,150.750000,152.240005,146.166061,4567100
2017-06-28,152.750000,153.449997,152.360001,153.229996,147.116577,5087000
2017-06-29,152.770004,153.000000,151.520004,152.160004,146.089279,2855400
2017-06-30,152.509995,154.000000,152.270004,153.399994,147.279800,3640900
2017-07-03,154.389999,154.789993,153.710007,154.009995,147.865448,1658500
2017-07-05,154.009995,154.289993,151.460007,152.690002,146.598129,4432500
2017-07-06,151.770004,152.479996,151.220001,152.050003,145.983658,3408500
2017-07-07,152.039993,152.869995,151.899994,152.229996,146.156464,3775400
2017-07-10,152.220001,152.259995,151.000000,151.179993,145.148361,5081100
2017-07-11,151.449997,151.809998,150.500000,150.600006,144.591507,5642000
2017-07-12,151.460007,153.139999,151.089996,152.589996,146.502090,4275900
2017-07-13,152.820007,154.130005,152.600006,153.289993,147.174194,3288000
2017-07-14,153.220001,153.669998,151.820007,152.880005,146.780533,3588400
2017-07-17,152.899994,154.500000,152.720001,153.889999,147.750244,4166600
2017-07-18,153.750000,153.860001,151.979996,152.169998,146.098862,3783600
2017-07-19,152.550003,154.000000,152.550003,153.300003,147.183792,2808400
2017-07-20,152.559998,152.570007,145.610001,147.029999,141.163925,18264100
2017-07-21,147.029999,147.460007,146.130005,146.649994,140.799088,9120200
2017-07-24,146.610001,146.690002,144.250000,144.580002,138.811676,7295900
2017-07-25,145.740005,147.399994,145.279999,146.970001,141.106323,5002400
2017-07-26,146.860001,147.250000,145.960007,146.690002,140.837494,2836000
2017-07-27,146.179993,147.860001,145.889999,147.729996,141.835999,5399000
2017-07-28,147.899994,148.270004,147.320007,148.080002,142.172043,3421100
2017-07-31,148.000000,149.979996,147.539993,149.600006,143.631409,5253300
2017-08-01,150.240005,150.389999,148.949997,149.850006,143.871429,4110600
2017-08-02,149.940002,150.860001,149.919998,150.500000,144.495468,3754200
2017-08-03,150.699997,152.029999,150.500000,150.789993,144.773911,5146600
2017-08-04,151.009995,152.750000,150.800003,152.750000,146.655716,3258600
2017-08-07,152.830002,154.470001,152.470001,153.350006,147.231781,3833600
2017-08-08,153.320007,154.199997,153.080002,153.350006,147.231781,3218900
2017-08-09,153.350006,155.570007,153.320007,155.259995,149.065582,3844900
