Date,0,1,2,3,4,5,6,7,8
6/24/2009,-0.221318531,0.145603258,1.047469699,0.314248293,-0.620324519,4.106766605,-6.42929163,8.09272015,89.42412767
6/23/2009,0.059644061,0.820775829,0.726865503,0.47674815,-0.575638091,4.027632141,-6.469760921,8.242208986,89.49152734
6/22/2009,0.427929038,0.824444605,0.225625075,0.626553867,-0.518920769,3.943525583,-6.509286147,8.391096135,89.55903361
6/19/2009,-0.397051187,0.075796663,-0.423713592,0.751811701,-0.449945473,3.854940027,-6.54785372,8.539368806,89.62664577
6/18/2009,-0.717433685,-0.641514862,-1.051527081,0.840667908,-0.368530122,3.762413566,-6.585450047,8.687014207,89.69436312
6/17/2009,0.740705083,-0.54620962,-1.451900799,0.881268744,-0.274512336,3.666503996,-6.622061539,8.834019547,89.76218493
6/16/2009,-0.44196164,0.143727289,-1.439065032,0.864692915,-0.168013033,3.567811582,-6.657674606,8.980372034,89.83011049
6/15/2009,-0.648646372,0.474933689,-0.948780716,0.794026161,-0.050404289,3.466947205,-6.692275656,9.126058878,89.8981391
6/12/2009,0.61691008,-0.173230333,-0.031674381,0.676395594,0.075592064,3.364521746,-6.7258511,9.271067287,89.96627004
6/11/2009,-0.259318344,-0.509733875,0.94022188,0.519205561,0.206976965,3.261146087,-6.758387346,9.41538447,90.0345026
6/10/2009,-0.432813289,-0.052282749,1.605090269,0.329860408,0.34075135,3.15743111,-6.789870805,9.558997635,90.10283607
6/9/2009,0.22838452,0.634842726,1.770230581,0.115671652,0.474008984,3.053987694,-6.820287887,9.701893991,90.17126974
6/8/2009,-0.127538191,0.539000696,1.354160435,-0.115501241,0.604201033,2.95144063,-6.849625129,9.844060876,90.23980289
6/5/2009,0.305018885,-0.353085088,0.564947245,-0.352214612,0.728851748,2.850434447,-6.87786959,9.985486148,90.30843482
6/4/2009,-0.632610172,-0.763741351,-0.316954125,-0.582105546,0.845615017,2.751484039,-6.905008456,10.12615779,90.3771648
6/3/2009,0.822365796,0.00808109,-1.0559088,-0.792811128,0.952180615,2.655068411,-6.931028912,10.26606379,90.44599214
6/2/2009,-0.323310113,0.678746429,-1.595561856,-0.972046914,1.046316784,2.561666572,-6.955918147,10.40519213,90.51491611
6/1/2009,-0.578090418,0.615579942,-1.925313831,-1.107842329,1.126105641,2.471757527,-6.979663345,10.5435308,90.58393601
5/29/2009,0.37903635,-0.121198026,-2.046928323,-1.188408632,1.189811133,2.385820283,-7.002251695,10.68106778,90.65305113
5/28/2009,-0.260544422,-0.330562301,-2.000427544,-1.205467845,1.236309849,2.304312836,-7.023670381,10.81779107,90.72226074
5/27/2009,0.16012748,-0.088325825,-1.832903881,-1.163253563,1.265427071,2.227579528,-7.043906591,10.95368863,90.79156415
5/26/2009,0.222903825,0.108969048,-1.542667735,-1.06917246,1.277420365,2.155786364,-7.062947512,11.08874847,90.86096063
5/22/2009,-0.228101555,0.007360812,-1.132900412,-0.93065015,1.272777723,2.088887861,-7.080780329,11.22295857,90.93044949
5/21/2009,0.230294413,-0.014582014,-0.668368492,-0.75511225,1.252131262,2.026694415,-7.09739235,11.35630702,91.00002999
5/20/2009,-0.037877155,0.046721095,-0.189699594,-0.549984373,1.216139401,1.968990119,-7.112771365,11.48878243,91.06970144
5/19/2009,-0.266798215,0.078181831,0.287355557,-0.322692136,1.165460563,1.91555906,-7.126905284,11.6203735,91.13946312
5/18/2009,-0.048736909,0.004011795,0.747850521,-0.080661154,1.100753169,1.866185331,-7.139782019,11.75106894,91.20931432
5/15/2009,0.383243236,-0.12867313,1.16469796,0.168682959,1.022675639,1.82065302,-7.15138948,11.88085746,91.27925433
5/14/2009,0.007920492,-0.271537641,1.507775312,0.417914586,0.931886396,1.778746218,-7.161715692,12.00972789,91.34928244
5/13/2009,-0.590845662,-0.483857917,1.749485295,0.659608114,0.829043861,1.740249014,-7.170749137,12.13766951,91.41939793
5/12/2009,0.727003248,-0.691217257,1.87233175,0.886337925,0.714806455,1.7049455,-7.178478415,12.26467171,91.48960009
5/11/2009,-0.088885087,-0.476454024,1.865672979,1.091491794,0.589832599,1.672619765,-7.184892232,12.390724,91.55988821
5/8/2009,-1.125658308,0.083825468,1.735548948,1.272346109,0.454780715,1.6430559,-7.189979733,12.51581632,91.63026158
5/7/2009,-1.155280442,0.752681723,1.489762412,1.42955704,0.310309224,1.616037993,-7.193730276,12.63993884,91.70071948
5/6/2009,-0.195213096,1.268708024,1.135349353,1.564520328,0.157076548,1.591350137,-7.196133731,12.76308222,91.77126122
5/5/2009,0.237443689,1.366077193,0.683358529,1.67865784,-0.004258892,1.568776419,-7.197180644,12.88523781,91.84188606
5/4/2009,1.304083657,0.757462357,0.167869599,1.773373958,-0.173021193,1.548100932,-7.196862587,13.00639797,91.91259331
